date,game,platform,revenue_usd,dau,downloads
2025-10-16,듀엣 나이트 어비스,iOS,,,
2025-10-16,블루 아카이브,AOS,37434.41,224500.0,
2025-10-16,블루 아카이브,iOS,39395.14,146815.0,
2025-10-16,스텔라소라,AOS,,,
2025-10-16,스텔라소라,iOS,,,
2025-10-16,카오스 제로 나이트메어,AOS,,,
2025-10-16,카오스 제로 나이트메어,iOS,,,
2025-10-17,듀엣 나이트 어비스,AOS,,,
2025-10-17,듀엣 나이트 어비스,iOS,,,
2025-10-17,블루 아카이브,AOS,45038.56,218696.0,
2025-10-17,블루 아카이브,iOS,34453.57,142228.0,
2025-10-17,스텔라소라,AOS,,,
2025-10-17,스텔라소라,iOS,,,
2025-10-17,카오스 제로 나이트메어,AOS,,,
2025-10-17,카오스 제로 나이트메어,iOS,,,
2025-10-18,듀엣 나이트 어비스,AOS,,,
2025-10-18,듀엣 나이트 어비스,iOS,,,
2025-10-18,블루 아카이브,AOS,40855.32,245044.0,
2025-10-18,블루 아카이브,iOS,28333.16,165663.0,
2025-10-18,스텔라소라,AOS,,,
2025-10-18,스텔라소라,iOS,115.3,,
2025-10-18,카오스 제로 나이트메어,AOS,,,
2025-10-18,카오스 제로 나이트메어,iOS,,,
2025-10-19,듀엣 나이트 어비스,AOS,,,
2025-10-19,듀엣 나이트 어비스,iOS,,,
2025-10-19,블루 아카이브,AOS,40702.35,251253.0,
2025-10-19,블루 아카이브,iOS,29588.37,169363.0,
2025-10-19,스텔라소라,AOS,11150.66,59993.0,
2025-10-19,스텔라소라,iOS,19120.59,150042.0,
2025-10-19,카오스 제로 나이트메어,AOS,,,
2025-10-19,카오스 제로 나이트메어,iOS,,,
2025-10-20,듀엣 나이트 어비스,AOS,,,
2025-10-20,듀엣 나이트 어비스,iOS,,,
2025-10-20,블루 아카이브,AOS,46088.28,243982.0,
2025-10-20,블루 아카이브,iOS,32649.53,156781.0,
2025-10-20,스텔라소라,AOS,24029.94,82667.0,
2025-10-20,스텔라소라,iOS,216257.36,167411.0,
2025-10-20,카오스 제로 나이트메어,AOS,,,
2025-10-20,카오스 제로 나이트메어,iOS,,,
2025-10-21,듀엣 나이트 어비스,AOS,,,
2025-10-21,듀엣 나이트 어비스,iOS,,,
2025-10-21,블루 아카이브,AOS,53866.38,253383.0,
2025-10-21,블루 아카이브,iOS,36772.44,158307.0,
2025-10-21,스텔라소라,AOS,94032.19,82093.0,
2025-10-21,스텔라소라,iOS,271668.74,132576.0,
2025-10-21,카오스 제로 나이트메어,AOS,,,
2025-10-21,카오스 제로 나이트메어,iOS,50754.94,84226.0,
2025-10-22,듀엣 나이트 어비스,AOS,,,
2025-10-22,듀엣 나이트 어비스,iOS,,,
2025-10-22,블루 아카이브,AOS,113157.93,286155.0,
2025-10-22,블루 아카이브,iOS,190834.9,186966.0,
2025-10-22,스텔라소라,AOS,114427.66,72684.0,
2025-10-22,스텔라소라,iOS,254426.45,109397.0,
2025-10-22,카오스 제로 나이트메어,AOS,117887.27,93623.0,
2025-10-22,카오스 제로 나이트메어,iOS,320791.69,119415.0,
2025-10-23,듀엣 나이트 어비스,AOS,,,
2025-10-23,듀엣 나이트 어비스,iOS,,,
2025-10-23,블루 아카이브,AOS,111587.78,282935.0,
2025-10-23,블루 아카이브,iOS,263653.64,179876.0,
2025-10-23,스텔라소라,AOS,141135.95,62791.0,
2025-10-23,스텔라소라,iOS,190971.27,94214.0,
2025-10-23,카오스 제로 나이트메어,AOS,148812.74,148209.0,
2025-10-23,카오스 제로 나이트메어,iOS,380094.27,137617.0,
2025-10-24,듀엣 나이트 어비스,AOS,,,
2025-10-24,듀엣 나이트 어비스,iOS,,,
2025-10-24,블루 아카이브,AOS,158329.38,266171.0,
2025-10-24,블루 아카이브,iOS,219198.6,166460.0,
2025-10-24,스텔라소라,AOS,195225.18,54764.0,
2025-10-24,스텔라소라,iOS,184716.69,81148.0,
2025-10-24,카오스 제로 나이트메어,AOS,301356.73,116702.0,
2025-10-24,카오스 제로 나이트메어,iOS,417180.69,131416.0,
2025-10-25,듀엣 나이트 어비스,AOS,,,
2025-10-25,듀엣 나이트 어비스,iOS,,,
2025-10-25,블루 아카이브,AOS,186357.92,251171.0,
2025-10-25,블루 아카이브,iOS,112595.77,169668.0,
2025-10-25,스텔라소라,AOS,216354.63,52832.0,
2025-10-25,스텔라소라,iOS,146924.19,71288.0,
2025-10-25,카오스 제로 나이트메어,AOS,380436.62,134193.0,
2025-10-25,카오스 제로 나이트메어,iOS,348131.97,125733.0,
2025-10-26,듀엣 나이트 어비스,AOS,133.0,3862.0,
2025-10-26,듀엣 나이트 어비스,iOS,,238167.0,
2025-10-26,블루 아카이브,AOS,138673.09,261695.0,
2025-10-26,블루 아카이브,iOS,75045.33,180596.0,
2025-10-26,스텔라소라,AOS,181306.59,46289.0,
2025-10-26,스텔라소라,iOS,117047.23,65437.0,
2025-10-26,카오스 제로 나이트메어,AOS,339410.9,141746.0,
2025-10-26,카오스 제로 나이트메어,iOS,316939.8,122334.0,
2025-10-27,듀엣 나이트 어비스,AOS,7475.91,66600.0,
2025-10-27,듀엣 나이트 어비스,iOS,31555.44,301123.0,
2025-10-27,블루 아카이브,AOS,140257.28,245026.0,
2025-10-27,블루 아카이브,iOS,59367.58,157506.0,
2025-10-27,스텔라소라,AOS,143019.73,41167.0,
2025-10-27,스텔라소라,iOS,100093.07,60226.0,
2025-10-27,카오스 제로 나이트메어,AOS,358648.96,132763.0,
2025-10-27,카오스 제로 나이트메어,iOS,267593.49,110308.0,
2025-10-28,듀엣 나이트 어비스,AOS,27776.48,105072.0,
2025-10-28,듀엣 나이트 어비스,iOS,139492.05,372252.0,
2025-10-28,블루 아카이브,AOS,134321.18,244881.0,
2025-10-28,블루 아카이브,iOS,59127.59,155780.0,
2025-10-28,스텔라소라,AOS,145044.71,37004.0,
2025-10-28,스텔라소라,iOS,173173.22,56715.0,
2025-10-28,카오스 제로 나이트메어,AOS,353536.98,135958.0,
2025-10-28,카오스 제로 나이트메어,iOS,261813.62,102365.0,
2025-10-29,듀엣 나이트 어비스,AOS,31266.33,121229.0,
2025-10-29,듀엣 나이트 어비스,iOS,134149.15,372145.0,
2025-10-29,블루 아카이브,AOS,53704.03,258962.0,
2025-10-29,블루 아카이브,iOS,38798.78,166360.0,
2025-10-29,스텔라소라,AOS,121165.32,32670.0,
2025-10-29,스텔라소라,iOS,207317.58,53381.0,
2025-10-29,카오스 제로 나이트메어,AOS,321794.93,135604.0,
2025-10-29,카오스 제로 나이트메어,iOS,218812.16,96438.0,
2025-10-30,듀엣 나이트 어비스,AOS,36675.68,115975.0,
2025-10-30,듀엣 나이트 어비스,iOS,89157.23,318636.0,
2025-10-30,블루 아카이브,AOS,60044.23,248986.0,
2025-10-30,블루 아카이브,iOS,40566.2,158077.0,
2025-10-30,스텔라소라,AOS,135935.43,29561.0,
2025-10-30,스텔라소라,iOS,147664.54,49771.0,
2025-10-30,카오스 제로 나이트메어,AOS,332202.48,135149.0,
2025-10-30,카오스 제로 나이트메어,iOS,208104.28,90809.0,
2025-10-31,듀엣 나이트 어비스,AOS,58272.04,108733.0,
2025-10-31,듀엣 나이트 어비스,iOS,93715.33,271212.0,
2025-10-31,블루 아카이브,AOS,138564.92,241056.0,
2025-10-31,블루 아카이브,iOS,66701.67,155404.0,
2025-10-31,스텔라소라,AOS,254547.26,27178.0,
2025-10-31,스텔라소라,iOS,114580.36,45767.0,
2025-10-31,카오스 제로 나이트메어,AOS,530783.22,131605.0,
2025-10-31,카오스 제로 나이트메어,iOS,205728.38,85416.0,
2025-11-01,듀엣 나이트 어비스,AOS,57747.77,106450.0,
2025-11-01,듀엣 나이트 어비스,iOS,96306.8,239828.0,
2025-11-01,블루 아카이브,AOS,155520.85,237590.0,
2025-11-01,블루 아카이브,iOS,133565.66,163371.0,
2025-11-01,스타 세이비어,AOS,,,
2025-11-01,스타 세이비어,iOS,,,
2025-11-01,스텔라소라,AOS,271182.22,25752.0,
2025-11-01,스텔라소라,iOS,179535.72,42402.0,
2025-11-01,승리의여신: 니케,AOS,190848.61,367072.0,
2025-11-01,승리의여신: 니케,iOS,772026.48,341669.0,
2025-11-01,카오스 제로 나이트메어,AOS,535171.79,130319.0,
2025-11-01,카오스 제로 나이트메어,iOS,240189.29,80359.0,
2025-11-02,듀엣 나이트 어비스,AOS,89052.85,102629.0,
2025-11-02,듀엣 나이트 어비스,iOS,71292.99,221203.0,
2025-11-02,블루 아카이브,AOS,93995.04,232909.0,
2025-11-02,블루 아카이브,iOS,56681.07,162361.0,
2025-11-02,스타 세이비어,AOS,,,
2025-11-02,스타 세이비어,iOS,,,
2025-11-02,스텔라소라,AOS,157695.53,23960.0,
2025-11-02,스텔라소라,iOS,90414.71,40833.0,
2025-11-02,승리의여신: 니케,AOS,404080.78,361878.0,
2025-11-02,승리의여신: 니케,iOS,413560.86,326823.0,
2025-11-02,카오스 제로 나이트메어,AOS,272886.38,129492.0,
2025-11-02,카오스 제로 나이트메어,iOS,166274.9,79577.0,
2025-11-03,듀엣 나이트 어비스,AOS,78412.36,96430.0,
2025-11-03,듀엣 나이트 어비스,iOS,62818.81,204809.0,
2025-11-03,블루 아카이브,AOS,86293.88,239780.0,
2025-11-03,블루 아카이브,iOS,56713.29,156556.0,
2025-11-03,스타 세이비어,AOS,,,
2025-11-03,스타 세이비어,iOS,,,
2025-11-03,스텔라소라,AOS,150403.88,21976.0,
2025-11-03,스텔라소라,iOS,82705.72,39156.0,
2025-11-03,승리의여신: 니케,AOS,380166.99,362196.0,
2025-11-03,승리의여신: 니케,iOS,276276.18,316194.0,
2025-11-03,카오스 제로 나이트메어,AOS,247337.18,124803.0,
2025-11-03,카오스 제로 나이트메어,iOS,147582.96,76607.0,
2025-11-04,듀엣 나이트 어비스,AOS,79174.93,90183.0,
2025-11-04,듀엣 나이트 어비스,iOS,50195.42,189647.0,
2025-11-04,블루 아카이브,AOS,64138.74,241469.0,
2025-11-04,블루 아카이브,iOS,71240.61,153893.0,
2025-11-04,스타 세이비어,AOS,,,
2025-11-04,스타 세이비어,iOS,,,
2025-11-04,스텔라소라,AOS,118627.34,20173.0,
2025-11-04,스텔라소라,iOS,74375.23,36784.0,
2025-11-04,승리의여신: 니케,AOS,342338.81,360868.0,
2025-11-04,승리의여신: 니케,iOS,276064.76,308027.0,
2025-11-04,카오스 제로 나이트메어,AOS,207075.18,118029.0,
2025-11-04,카오스 제로 나이트메어,iOS,144694.75,73428.0,
2025-11-05,듀엣 나이트 어비스,AOS,84457.78,85865.0,
2025-11-05,듀엣 나이트 어비스,iOS,45694.79,179712.0,
2025-11-05,블루 아카이브,AOS,52611.81,246166.0,
2025-11-05,블루 아카이브,iOS,80205.38,156066.0,
2025-11-05,스타 세이비어,AOS,,,
2025-11-05,스타 세이비어,iOS,,,
2025-11-05,스텔라소라,AOS,116832.02,16361.0,
2025-11-05,스텔라소라,iOS,65824.18,23404.0,
2025-11-05,승리의여신: 니케,AOS,319903.88,374749.0,
2025-11-05,승리의여신: 니케,iOS,571138.41,320774.0,
2025-11-05,카오스 제로 나이트메어,AOS,200042.81,117073.0,
2025-11-05,카오스 제로 나이트메어,iOS,130893.82,70571.0,
2025-11-06,듀엣 나이트 어비스,AOS,80641.66,81137.0,
2025-11-06,듀엣 나이트 어비스,iOS,41699.44,169579.0,
2025-11-06,블루 아카이브,AOS,48549.85,246433.0,
2025-11-06,블루 아카이브,iOS,53130.72,152800.0,
2025-11-06,스타 세이비어,AOS,,,
2025-11-06,스타 세이비어,iOS,,,
2025-11-06,스텔라소라,AOS,108509.95,11473.0,
2025-11-06,스텔라소라,iOS,61012.9,20843.0,
2025-11-06,승리의여신: 니케,AOS,300172.17,394335.0,
2025-11-06,승리의여신: 니케,iOS,1265944.44,353903.0,
2025-11-06,카오스 제로 나이트메어,AOS,193263.02,111121.0,
2025-11-06,카오스 제로 나이트메어,iOS,119228.47,68093.0,
2025-11-07,듀엣 나이트 어비스,AOS,74579.28,78829.0,
2025-11-07,듀엣 나이트 어비스,iOS,38530.46,162780.0,
2025-11-07,블루 아카이브,AOS,60856.05,230981.0,
2025-11-07,블루 아카이브,iOS,33166.96,141308.0,
2025-11-07,스타 세이비어,AOS,,,
2025-11-07,스타 세이비어,iOS,,,
2025-11-07,스텔라소라,AOS,114683.31,9967.0,
2025-11-07,스텔라소라,iOS,55261.5,16745.0,
2025-11-07,승리의여신: 니케,AOS,357634.23,387115.0,
2025-11-07,승리의여신: 니케,iOS,1414960.29,341354.0,
2025-11-07,카오스 제로 나이트메어,AOS,226553.35,111976.0,
2025-11-07,카오스 제로 나이트메어,iOS,110709.52,58573.0,
2025-11-08,듀엣 나이트 어비스,AOS,66410.08,77846.0,
2025-11-08,듀엣 나이트 어비스,iOS,35205.0,156593.0,
2025-11-08,블루 아카이브,AOS,87145.04,243817.0,
2025-11-08,블루 아카이브,iOS,27278.77,158335.0,
2025-11-08,스타 세이비어,AOS,,,
2025-11-08,스타 세이비어,iOS,,,
2025-11-08,스텔라소라,AOS,117055.3,10309.0,
2025-11-08,스텔라소라,iOS,61789.7,15249.0,
2025-11-08,승리의여신: 니케,AOS,455592.43,397283.0,
2025-11-08,승리의여신: 니케,iOS,670324.83,352942.0,
2025-11-08,카오스 제로 나이트메어,AOS,240462.35,133022.0,
2025-11-08,카오스 제로 나이트메어,iOS,111317.37,53057.0,
2025-11-09,듀엣 나이트 어비스,AOS,52026.9,75164.0,
2025-11-09,듀엣 나이트 어비스,iOS,33538.15,149613.0,
2025-11-09,블루 아카이브,AOS,69211.08,254731.0,
2025-11-09,블루 아카이브,iOS,26392.58,164501.0,
2025-11-09,스타 세이비어,AOS,,,
2025-11-09,스타 세이비어,iOS,,,
2025-11-09,스텔라소라,AOS,83327.59,9079.0,
2025-11-09,스텔라소라,iOS,55347.22,14561.0,
2025-11-09,승리의여신: 니케,AOS,399482.29,384551.0,
2025-11-09,승리의여신: 니케,iOS,490353.93,342364.0,
2025-11-09,카오스 제로 나이트메어,AOS,213476.55,124046.0,
2025-11-09,카오스 제로 나이트메어,iOS,98816.23,48302.0,
2025-11-10,듀엣 나이트 어비스,AOS,49118.66,71436.0,
2025-11-10,듀엣 나이트 어비스,iOS,32185.67,144196.0,
2025-11-10,블루 아카이브,AOS,76847.51,254651.0,
2025-11-10,블루 아카이브,iOS,22698.22,158382.0,
2025-11-10,스타 세이비어,AOS,,,
2025-11-10,스타 세이비어,iOS,,,
2025-11-10,스텔라소라,AOS,96150.74,8456.0,
2025-11-10,스텔라소라,iOS,57394.64,13337.0,
2025-11-10,승리의여신: 니케,AOS,527067.38,351955.0,
2025-11-10,승리의여신: 니케,iOS,444701.13,311164.0,
2025-11-10,카오스 제로 나이트메어,AOS,232242.06,99364.0,
2025-11-10,카오스 제로 나이트메어,iOS,92658.51,34778.0,
2025-11-11,듀엣 나이트 어비스,AOS,44159.8,69058.0,
2025-11-11,듀엣 나이트 어비스,iOS,26447.46,139237.0,
2025-11-11,블루 아카이브,AOS,58021.52,239185.0,
2025-11-11,블루 아카이브,iOS,22626.37,146430.0,
2025-11-11,스타 세이비어,AOS,,,
2025-11-11,스타 세이비어,iOS,,,
2025-11-11,스텔라소라,AOS,74316.14,8412.0,
2025-11-11,스텔라소라,iOS,59662.54,12025.0,
2025-11-11,승리의여신: 니케,AOS,496145.85,344285.0,
2025-11-11,승리의여신: 니케,iOS,362355.97,290875.0,
2025-11-11,카오스 제로 나이트메어,AOS,227099.13,97236.0,
2025-11-11,카오스 제로 나이트메어,iOS,119038.14,34980.0,
2025-11-12,듀엣 나이트 어비스,AOS,32680.19,68499.0,
2025-11-12,듀엣 나이트 어비스,iOS,21298.83,142346.0,
2025-11-12,블루 아카이브,AOS,43200.98,264347.0,
2025-11-12,블루 아카이브,iOS,97911.97,168253.0,
2025-11-12,스타 세이비어,AOS,,,
2025-11-12,스타 세이비어,iOS,,,
2025-11-12,스텔라소라,AOS,50380.74,7964.0,
2025-11-12,스텔라소라,iOS,41974.46,10888.0,
2025-11-12,승리의여신: 니케,AOS,394528.28,350478.0,
2025-11-12,승리의여신: 니케,iOS,379185.85,306308.0,
2025-11-12,카오스 제로 나이트메어,AOS,189620.14,99382.0,
2025-11-12,카오스 제로 나이트메어,iOS,341098.73,39067.0,
2025-11-13,듀엣 나이트 어비스,AOS,38361.37,57105.0,
2025-11-13,듀엣 나이트 어비스,iOS,16413.41,88555.0,
2025-11-13,블루 아카이브,AOS,49793.47,243099.0,
2025-11-13,블루 아카이브,iOS,116263.66,151769.0,
2025-11-13,스타 세이비어,AOS,,,
2025-11-13,스타 세이비어,iOS,,,
2025-11-13,스텔라소라,AOS,64095.52,8178.0,
2025-11-13,스텔라소라,iOS,37602.86,10202.0,
2025-11-13,승리의여신: 니케,AOS,497432.75,344346.0,
2025-11-13,승리의여신: 니케,iOS,315049.96,310775.0,
2025-11-13,카오스 제로 나이트메어,AOS,193271.38,89289.0,
2025-11-13,카오스 제로 나이트메어,iOS,321059.12,42511.0,
2025-11-14,듀엣 나이트 어비스,AOS,33182.35,46808.0,
2025-11-14,듀엣 나이트 어비스,iOS,16951.28,83298.0,
2025-11-14,블루 아카이브,AOS,66645.84,241645.0,
2025-11-14,블루 아카이브,iOS,78345.12,154876.0,
2025-11-14,스타 세이비어,AOS,,,
2025-11-14,스타 세이비어,iOS,,,
2025-11-14,스텔라소라,AOS,68673.56,9278.0,
2025-11-14,스텔라소라,iOS,30998.64,9698.0,
2025-11-14,승리의여신: 니케,AOS,436361.32,338518.0,
2025-11-14,승리의여신: 니케,iOS,428063.28,306263.0,
2025-11-14,카오스 제로 나이트메어,AOS,272362.58,98075.0,
2025-11-14,카오스 제로 나이트메어,iOS,249795.65,42740.0,
2025-11-15,듀엣 나이트 어비스,AOS,32814.49,45182.0,
2025-11-15,듀엣 나이트 어비스,iOS,15200.78,81893.0,
2025-11-15,블루 아카이브,AOS,64161.14,229823.0,
2025-11-15,블루 아카이브,iOS,58305.54,151932.0,
2025-11-15,스타 세이비어,AOS,,,
2025-11-15,스타 세이비어,iOS,,,
2025-11-15,스텔라소라,AOS,62822.23,11154.0,
2025-11-15,스텔라소라,iOS,30658.01,11363.0,
2025-11-15,승리의여신: 니케,AOS,461909.63,353539.0,
2025-11-15,승리의여신: 니케,iOS,336173.42,321017.0,
2025-11-15,카오스 제로 나이트메어,AOS,279369.38,107903.0,
2025-11-15,카오스 제로 나이트메어,iOS,182303.83,52815.0,
2025-11-16,듀엣 나이트 어비스,AOS,26483.38,43795.0,
2025-11-16,듀엣 나이트 어비스,iOS,14148.08,81359.0,
2025-11-16,블루 아카이브,AOS,61070.49,249910.0,
2025-11-16,블루 아카이브,iOS,52108.77,165635.0,
2025-11-16,스타 세이비어,AOS,,,
2025-11-16,스타 세이비어,iOS,,,
2025-11-16,스텔라소라,AOS,49866.52,11017.0,
2025-11-16,스텔라소라,iOS,35765.12,11718.0,
2025-11-16,승리의여신: 니케,AOS,395378.75,345358.0,
2025-11-16,승리의여신: 니케,iOS,366706.36,313778.0,
2025-11-16,카오스 제로 나이트메어,AOS,232081.79,101890.0,
2025-11-16,카오스 제로 나이트메어,iOS,157075.12,60263.0,
2025-11-17,듀엣 나이트 어비스,AOS,21487.53,43169.0,
2025-11-17,듀엣 나이트 어비스,iOS,12757.92,79788.0,
2025-11-17,블루 아카이브,AOS,60899.34,229621.0,
2025-11-17,블루 아카이브,iOS,43976.22,144032.0,
2025-11-17,스타 세이비어,AOS,,,
2025-11-17,스타 세이비어,iOS,,,
2025-11-17,스텔라소라,AOS,60944.58,12668.0,
2025-11-17,스텔라소라,iOS,36622.02,10690.0,
2025-11-17,승리의여신: 니케,AOS,426499.99,335967.0,
2025-11-17,승리의여신: 니케,iOS,295443.32,302418.0,
2025-11-17,카오스 제로 나이트메어,AOS,202109.81,84004.0,
2025-11-17,카오스 제로 나이트메어,iOS,124663.32,47198.0,
2025-11-18,듀엣 나이트 어비스,AOS,19280.02,42635.0,
2025-11-18,듀엣 나이트 어비스,iOS,11714.15,79061.0,
2025-11-18,블루 아카이브,AOS,54370.16,233777.0,
2025-11-18,블루 아카이브,iOS,66832.54,144945.0,
2025-11-18,스타 세이비어,AOS,,,
2025-11-18,스타 세이비어,iOS,,,
2025-11-18,스텔라소라,AOS,72964.64,20540.0,
2025-11-18,스텔라소라,iOS,106189.69,9210.0,
2025-11-18,승리의여신: 니케,AOS,398256.11,324537.0,
2025-11-18,승리의여신: 니케,iOS,384609.37,280396.0,
2025-11-18,카오스 제로 나이트메어,AOS,187759.59,90302.0,
2025-11-18,카오스 제로 나이트메어,iOS,111467.45,44676.0,
2025-11-19,듀엣 나이트 어비스,AOS,18336.54,40987.0,
2025-11-19,듀엣 나이트 어비스,iOS,9918.54,78829.0,
2025-11-19,블루 아카이브,AOS,64272.51,250817.0,
2025-11-19,블루 아카이브,iOS,133668.02,158960.0,
2025-11-19,스타 세이비어,AOS,,,
2025-11-19,스타 세이비어,iOS,2061.35,,
2025-11-19,스텔라소라,AOS,81454.63,23845.0,
2025-11-19,스텔라소라,iOS,122736.44,7678.0,
2025-11-19,승리의여신: 니케,AOS,434043.08,331982.0,
2025-11-19,승리의여신: 니케,iOS,421573.22,286142.0,
2025-11-19,카오스 제로 나이트메어,AOS,130934.92,82968.0,
2025-11-19,카오스 제로 나이트메어,iOS,111738.28,46084.0,
